AlarmEvent,AlarmId,AlarmMsg,AlarmTime,Channel,PicInfo.ObjName,PicInfo.ObjSize,PicInfo.StorageBucket,VideoInfo.VideoLength,PicErr
VideoMotion:2,240808132946,,2024-08-08 13:29:46,0,003/003_1ce32155e73d3804_240808132946.jpeg,82716.0,VTT_camera151,,
VideoMotion:2,240808132805,,2024-08-08 13:28:05,0,003/003_1ce32155e73d3804_240808132805.jpeg,78787.0,VTT_camera151,,
VideoMotion:2,240808132723,,2024-08-08 13:27:24,0,003/003_1ce32155e73d3804_240808132723.jpeg,80827.0,VTT_camera151,,
appEventHumanDetectAlarm:2,240808132613,,2024-08-08 13:26:14,0,003/003_fb1f6e5c62b71703_240808132613.jpeg,36419.0,OBS_sg-ai-img,,
VideoMotion:2,240808132534,,2024-08-08 13:25:35,0,003/003_1ce32155e73d3804_240808132534.jpeg,81322.0,VTT_camera151,,
VideoMotion:2,240808132419,,2024-08-08 13:24:20,0,003/003_1ce32155e73d3804_240808132419.jpeg,81049.0,VTT_camera151,,
VideoMotion:2,240808132419,,2024-08-08 13:24:20,0,003/003_1ce32155e73d3804_240808132419.jpeg,81049.0,VTT_camera151,,
VideoMotion:2,240808132339,,2024-08-08 13:23:39,0,003/003_1ce32155e73d3804_240808132339.jpeg,81880.0,VTT_camera151,,
VideoMotion:2,240808132339,,2024-08-08 13:23:39,0,003/003_1ce32155e73d3804_240808132339.jpeg,81880.0,VTT_camera151,,
VideoMotion:2,240808132254,,2024-08-08 13:22:55,0,003/003_1ce32155e73d3804_240808132254.jpeg,81905.0,VTT_camera151,,
VideoMotion:2,240808132254,,2024-08-08 13:22:55,0,003/003_1ce32155e73d3804_240808132254.jpeg,81905.0,VTT_camera151,,
VideoMotion:2,240808132212,,2024-08-08 13:22:12,0,003/003_1ce32155e73d3804_240808132212.jpeg,81944.0,VTT_camera151,,
VideoMotion:2,240808131918,,2024-08-08 13:19:18,0,003/003_1ce32155e73d3804_240808131918.jpeg,82110.0,VTT_camera151,,
VideoMotion:2,240808131714,,2024-08-08 13:17:14,0,003/003_1ce32155e73d3804_240808131714.jpeg,80605.0,VTT_camera151,10.0,
VideoMotion:2,240808131627,,2024-08-08 13:16:28,0,003/003_1ce32155e73d3804_240808131627.jpeg,80504.0,VTT_camera151,,
VideoMotion:2,240808131324,,2024-08-08 13:13:24,0,003/003_1ce32155e73d3804_240808131324.jpeg,82720.0,VTT_camera151,,
VideoMotion:2,240808130810,,2024-08-08 13:08:10,0,003/003_1ce32155e73d3804_240808130810.jpeg,85617.0,VTT_camera151,,
VideoMotion:2,240808130730,,2024-08-08 13:07:30,0,003/003_1ce32155e73d3804_240808130730.jpeg,86842.0,VTT_camera151,10.0,
VideoMotion:2,2489235656,,2024-08-09 23:56:57,0,003/003_ba39b3962a4bfe81_2489235656.jpeg,46190.0,OBS_sg-ai-img,,
VideoMotion:2,2489235656,,2024-08-09 23:56:57,0,003/003_ba39b3962a4bfe81_2489235656.jpeg,46190.0,OBS_sg-ai-img,,
VideoMotion:2,2489235656,,2024-08-09 23:56:57,0,003/003_ba39b3962a4bfe81_2489235656.jpeg,46190.0,OBS_sg-ai-img,,
VideoMotion:2,248923527,,2024-08-09 23:52:08,0,003/003_ba39b3962a4bfe81_248923527.jpeg,46167.0,OBS_sg-ai-img,,
VideoMotion:2,2489234638,,2024-08-09 23:46:38,0,003/003_ba39b3962a4bfe81_2489234638.jpeg,45899.0,OBS_sg-ai-img,,
VideoMotion:2,2489234552,,2024-08-09 23:45:53,0,003/003_ba39b3962a4bfe81_2489234552.jpeg,45992.0,OBS_sg-ai-img,,
VideoMotion:2,2489234145,,2024-08-09 23:41:46,0,003/003_ba39b3962a4bfe81_2489234145.jpeg,46044.0,OBS_sg-ai-img,,
VideoMotion:2,2489233711,,2024-08-09 23:37:12,0,003/003_ba39b3962a4bfe81_2489233711.jpeg,49959.0,OBS_sg-ai-img,,
VideoMotion:2,2489233330,,2024-08-09 23:33:30,0,003/003_ba39b3962a4bfe81_2489233330.jpeg,46200.0,OBS_sg-ai-img,,
VideoMotion:2,2489232931,,2024-08-09 23:29:32,0,003/003_ba39b3962a4bfe81_2489232931.jpeg,46059.0,OBS_sg-ai-img,,
VideoMotion:2,248923278,,2024-08-09 23:27:09,0,003/003_ba39b3962a4bfe81_248923278.jpeg,46146.0,OBS_sg-ai-img,,
VideoMotion:2,2489232435,,2024-08-09 23:24:36,0,003/003_ba39b3962a4bfe81_2489232435.jpeg,45958.0,OBS_sg-ai-img,,
VideoMotion:2,2489232148,,2024-08-09 23:21:49,0,003/003_ba39b3962a4bfe81_2489232148.jpeg,46045.0,OBS_sg-ai-img,,
VideoMotion:2,2489231929,,2024-08-09 23:19:30,0,003/003_ba39b3962a4bfe81_2489231929.jpeg,46205.0,OBS_sg-ai-img,,
VideoMotion:2,2489231213,,2024-08-09 23:12:14,0,003/003_ba39b3962a4bfe81_2489231213.jpeg,46218.0,OBS_sg-ai-img,,
VideoMotion:2,2489231213,,2024-08-09 23:12:14,0,003/003_ba39b3962a4bfe81_2489231213.jpeg,46218.0,OBS_sg-ai-img,,
VideoMotion:2,248923759,,2024-08-09 23:08:00,0,003/003_ba39b3962a4bfe81_248923759.jpeg,46123.0,OBS_sg-ai-img,,
VideoMotion:2,248923642,,2024-08-09 23:06:43,0,003/003_ba39b3962a4bfe81_248923642.jpeg,45958.0,OBS_sg-ai-img,,
VideoMotion:2,24892358,,2024-08-09 23:05:08,0,003/003_ba39b3962a4bfe81_24892358.jpeg,45944.0,OBS_sg-ai-img,,
VideoMotion:2,24892323,,2024-08-09 23:02:04,0,003/003_ba39b3962a4bfe81_24892323.jpeg,46210.0,OBS_sg-ai-img,,
VideoMotion:2,24892319,,2024-08-09 23:01:10,0,003/003_ba39b3962a4bfe81_24892319.jpeg,46143.0,OBS_sg-ai-img,,
VideoMotion:2,2489225557,,2024-08-09 22:55:57,0,003/003_ba39b3962a4bfe81_2489225557.jpeg,46456.0,OBS_sg-ai-img,,
VideoMotion:2,2489225247,,2024-08-09 22:52:47,0,003/003_ba39b3962a4bfe81_2489225247.jpeg,46407.0,OBS_sg-ai-img,,
VideoMotion:2,2489224959,,2024-08-09 22:50:00,0,003/003_ba39b3962a4bfe81_2489224959.jpeg,46330.0,OBS_sg-ai-img,,
VideoMotion:2,2489224915,,2024-08-09 22:49:16,0,003/003_ba39b3962a4bfe81_2489224915.jpeg,46393.0,OBS_sg-ai-img,,
VideoMotion:2,2489224758,,2024-08-09 22:47:59,0,003/003_ba39b3962a4bfe81_2489224758.jpeg,46318.0,OBS_sg-ai-img,,
VideoMotion:2,2489224612,,2024-08-09 22:46:13,0,003/003_ba39b3962a4bfe81_2489224612.jpeg,46398.0,OBS_sg-ai-img,,
VideoMotion:2,248922445,,2024-08-09 22:44:05,0,003/003_ba39b3962a4bfe81_248922445.jpeg,46738.0,OBS_sg-ai-img,,
